conda environment activated
/home2/codepk37

Epoch 12: Accuracy=0.6149
Epoch 13: Accuracy=0.6200
Epoch 14: Accuracy=0.6102
Epoch 15: Accuracy=0.6153
Epoch 16: Accuracy=0.6137
Epoch 17: Accuracy=0.6016
Epoch 18: Accuracy=0.6042
Epoch 19: Accuracy=0.6057
Epoch 20: Accuracy=0.6038
Epoch 21: Accuracy=0.5991
Epoch 22: Accuracy=0.6111
Epoch 23: Accuracy=0.6095
Epoch 24: Accuracy=0.6121
Epoch 25: Accuracy=0.6078
Epoch 26: Accuracy=0.6076
Epoch 27: Accuracy=0.6031
Epoch 28: Accuracy=0.6076
Epoch 29: Accuracy=0.6081
Epoch 30: Accuracy=0.6166
Epoch 31: Accuracy=0.6019
Epoch 32: Accuracy=0.6035
Epoch 33: Accuracy=0.6078
Epoch 34: Accuracy=0.6060
Epoch 35: Accuracy=0.6019
Epoch 36: Accuracy=0.6027
Epoch 37: Accuracy=0.5991
Epoch 38: Accuracy=0.6122
Epoch 39: Accuracy=0.6140
Epoch 40: Accuracy=0.6046
Epoch 41: Accuracy=0.6065
Epoch 42: Accuracy=0.6140
Epoch 43: Accuracy=0.6099
Epoch 44: Accuracy=0.6049
Epoch 45: Accuracy=0.6058
Epoch 46: Accuracy=0.6120
Epoch 47: Accuracy=0.6159
Epoch 48: Accuracy=0.6126
Epoch 49: Accuracy=0.6036
Epoch 50: Accuracy=0.6001

Running config: emb_dim=192, depth=4, heads=8, mlp_dim=1024
Epoch 1: Accuracy=0.4810
Epoch 2: Accuracy=0.5115
Epoch 3: Accuracy=0.5526
Epoch 4: Accuracy=0.5657
Epoch 5: Accuracy=0.5969
Epoch 6: Accuracy=0.6118
Epoch 7: Accuracy=0.6187
Epoch 8: Accuracy=0.6240
Epoch 9: Accuracy=0.6316
Epoch 10: Accuracy=0.6397
Epoch 11: Accuracy=0.6269
Epoch 12: Accuracy=0.6255
Epoch 13: Accuracy=0.6223
Epoch 14: Accuracy=0.6220
Epoch 15: Accuracy=0.6150
Epoch 16: Accuracy=0.6179
Epoch 17: Accuracy=0.6278
Epoch 18: Accuracy=0.6187
Epoch 19: Accuracy=0.6218
Epoch 20: Accuracy=0.6222
Epoch 21: Accuracy=0.6282
Epoch 22: Accuracy=0.6228
Epoch 23: Accuracy=0.6202
Epoch 24: Accuracy=0.6218
Epoch 25: Accuracy=0.6166
Epoch 26: Accuracy=0.6158
Epoch 27: Accuracy=0.6256
Epoch 28: Accuracy=0.6231
Epoch 29: Accuracy=0.6180
Epoch 30: Accuracy=0.6184
Epoch 31: Accuracy=0.6209
Epoch 32: Accuracy=0.6220
Epoch 33: Accuracy=0.6255
Epoch 34: Accuracy=0.6291
Epoch 35: Accuracy=0.6218
Epoch 36: Accuracy=0.6258
Epoch 37: Accuracy=0.6252
Epoch 38: Accuracy=0.6201
Epoch 39: Accuracy=0.6146
Epoch 40: Accuracy=0.6250
Epoch 41: Accuracy=0.6257
